X,Y,Type,Date,Descriptions,PLN_AREA_C,PLN_AREA_N,REGION_C,REGION_N,RoadType
30266.5155946379,33543.4300297279,Accident,22/2/2018,Accident on CTE (towards SLE) after Moulmein Rd Exit with congestion till Kramat Rd Entrance. Avoid lanes 1 and 2.,KL,KALLANG,CR,CENTRAL REGION,expressway
25097.5656133878,35625.628968257,Accident,22/2/2018,Accident on PIE (towards Changi Airport) after Eng Neo Ave. Avoid lane 1.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
14942.9340604012,33859.0900070224,Accident,22/2/2018,Accident on AYE (towards Tuas) at Jurong Port Rd Entrance.,BL,BOON LAY,WR,WEST REGION,expressway
39533.8219500587,32442.1310438266,Accident,22/2/2018,Accident on ECP (towards City) after East Coast Park Carpark F3 Exit. Avoid lane 1.,BD,BEDOK,ER,EAST REGION,expressway
28495.9735690427,29782.6500322591,Accident,22/2/2018,Accident in CTE Tunnel (towards SLE) after Outram Rd Exit with congestion till AYE Entrance. Avoid lane 1.,OT,OUTRAM,CR,CENTRAL REGION,expressway
25240.2705508427,35489.8199585126,Accident,22/2/2018,Accident on PIE (towards Tuas) before Eng Neo Ave with congestion till Thomson Rd Exit. Avoid lane 1.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
25000.8012028955,29579.1599593479,Accident,22/2/2018,Accident on AYE (towards Tuas) after Lower Delta Rd Exit.,BM,BUKIT MERAH,CR,CENTRAL REGION,expressway
29754.6947421285,38321.7380021828,Accident,22/2/2018,Accident on Ang Mo Kio Avenue 1 (towards Bishan Road) after Ang Mo Kio Street 32. Avoid left lane.,AM,ANG MO KIO,NER,NORTH-EAST REGION,non_expressway
37048.0234273953,31666.1989702265,Accident,22/2/2018,Accident on ECP (towards City) before Still Rd Sth Exit with congestion till East Coast Park Carpark F3 Exit. Avoid lane 1.,MP,MARINE PARADE,CR,CENTRAL REGION,expressway
39175.305516835,32271.6700276179,Accident,21/2/2018,Accident on ECP (towards City) at Bedok South Ave 1 Entrance.,BD,BEDOK,ER,EAST REGION,expressway
33019.0441460658,33566.5509491088,Accident,21/2/2018,Accident on PIE (towards Tuas) after KPE Exit.,GL,GEYLANG,CR,CENTRAL REGION,expressway
26584.5639429465,40968.0900278334,Accident,21/2/2018,Accident on Upper Thomson Road (towards Newton) after SLE.,AM,ANG MO KIO,NER,NORTH-EAST REGION,non_expressway
19012.2355270653,33776.9299864482,Accident,21/2/2018,Accident on AYE (towards MCE) after Jurong Town Hall Entrance.,CL,CLEMENTI,WR,WEST REGION,expressway
34351.4460601023,33952.7300360409,Accident,21/2/2018,Accident on PIE (towards Changi Airport) at Paya Lebar Rd Exit.,GL,GEYLANG,CR,CENTRAL REGION,expressway
34351.4460601023,33952.7300360409,Accident,21/2/2018,Accident on PIE (towards Changi Airport) at Paya Lebar Rd Exit.,GL,GEYLANG,CR,CENTRAL REGION,expressway
34351.4460601023,33952.7300360409,Accident,21/2/2018,Accident on PIE (towards Changi Airport) at Paya Lebar Rd Exit.,GL,GEYLANG,CR,CENTRAL REGION,expressway
34351.4460601023,33952.7300360409,Accident,21/2/2018,Accident on PIE (towards Changi Airport) at Paya Lebar Rd Exit.,GL,GEYLANG,CR,CENTRAL REGION,expressway
6960.65620533004,35404.8790290286,Accident,21/2/2018,Accident on Tuas West Road (towards Tuas Avenue 1) after Tuas Link 4 with congestion.,TS,TUAS,WR,WEST REGION,non_expressway
17712.4293617687,36353.2300181513,Accident,21/2/2018,Accident on PIE (towards Tuas) after Toh Guan Rd Exit.,JE,JURONG EAST,WR,WEST REGION,expressway
26900.8602792593,34579.9300080056,Accident,21/2/2018,Accident on PIE (towards Tuas) after Stevens Rd Exit. Avoid lanes 3 and 4.,NV,NOVENA,CR,CENTRAL REGION,expressway
17699.6867632374,36353.5310440454,Accident,21/2/2018,Accident on PIE (towards Tuas) after Toh Guan Rd Exit. Avoid lane 3.,JE,JURONG EAST,WR,WEST REGION,expressway
19888.5958079819,35856.7499681979,Accident,21/2/2018,Accident on Bukit Batok Street 25 (towards Bukit Batok East Avenue 3) after Bukit Batok East Avenue 6.,BK,BUKIT BATOK,WR,WEST REGION,non_expressway
33816.5905389501,34795.3589476654,Accident,21/2/2018,Accident on KPE (towards ECP) after Airport Rd Entrance with congestion till Airport Rd Entrance. Avoid lane 2.,GL,GEYLANG,CR,CENTRAL REGION,expressway
33816.5905389501,34795.3589476654,Accident,21/2/2018,Accident on KPE (towards ECP) after Airport Rd Entrance. Avoid lane 1.,GL,GEYLANG,CR,CENTRAL REGION,expressway
36655.6051989629,41281.430014572,Accident,21/2/2018,Accident on TPE (towards PIE) after Punggol Rd Exit.,SE,SENGKANG,NER,NORTH-EAST REGION,expressway
29368.2883276777,29861.9489792279,Accident,21/2/2018,Accident on Upper Pickering Street (towards Pickering Street) after New Bridge Road.,SR,SINGAPORE RIVER,CR,CENTRAL REGION,non_expressway
36324.8145687304,39187.550951372,Accident,20/2/2018,Accident on KPE (towards ECP) after Buangkok Dr Entrance. Avoid lane 4.,PL,PAYA LEBAR,ER,EAST REGION,expressway
42587.3110732228,37215.1289573273,Accident,20/2/2018,Accident on TPE (towards PIE) at Upper Changi Rd North Exit.,PR,PASIR RIS,ER,EAST REGION,expressway
32574.3547471366,30603.6250487518,Accident,20/2/2018,Accident on MCE (towards KPE) at ECP (Changi) Exit.,ME,MARINA EAST,CR,CENTRAL REGION,expressway
20823.758535767,34958.6290129691,Accident,20/2/2018,Accident on PIE (towards Tuas) before Clementi Ave 6 Exit.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
32723.5545165938,32436.2210201469,Accident,20/2/2018,Accident on KPE (towards TPE) before Nicoll Highway Entrance. Avoid lane 3.,KL,KALLANG,CR,CENTRAL REGION,expressway
34402.9855700296,33905.9100438129,Accident,20/2/2018,Accident on PIE (towards Changi Airport) after Paya Lebar Rd with congestion till Kallang. Avoid lanes 1 and 3.,GL,GEYLANG,CR,CENTRAL REGION,expressway
28790.0037868856,34557.7500475568,Accident,20/2/2018,Accident on PIE (towards Tuas) after Thomson Rd Exit.,NV,NOVENA,CR,CENTRAL REGION,expressway
29154.3975152466,32441.368961739,Accident,20/2/2018,Accident in CTE Tunnel (towards AYE) before Cairnhill Circle Exit. Avoid lane 1.,NT,NEWTON,CR,CENTRAL REGION,expressway
9087.05620674033,33859.9220167295,Accident,20/2/2018,Accident on Jalan Ahmad Ibrahim (towards Tuas Road) after Upper Jurong Road. Avoid left lane.,PN,PIONEER,WR,WEST REGION,expressway
22916.6149095311,45339.1289851806,Accident,20/2/2018,Accident on SLE (towards CTE) at Woodlands Ave 2 Entrance.,WD,WOODLANDS,NR,NORTH REGION,expressway
25592.1050316533,29538.2399893507,Accident,20/2/2018,Accident on AYE (towards MCE) after Alexandra.,BM,BUKIT MERAH,CR,CENTRAL REGION,expressway
28492.2218938456,36724.539029161,Accident,20/2/2018,Accident on Upper Thomson Road (towards Newton) after Jln Todak. Avoid left lane.,BS,BISHAN,CR,CENTRAL REGION,non_expressway
29973.763614966,29239.9489478372,Accident,20/2/2018,Accident on Raffles Quay (towards Shenton Way) after Central Boulevard. Avoid right lane.,DT,DOWNTOWN CORE,CR,CENTRAL REGION,non_expressway
33397.2968496113,33015.102005224,Accident,19/2/2018,Accident on Aljunied Road near Aljunied Road/Sims Avenue Junction.,GL,GEYLANG,CR,CENTRAL REGION,expressway
12826.8948371984,33884.3200348574,Accident,19/2/2018,Accident on AYE (towards MCE) after Pioneer Rd Exit. Avoid lanes 2 and 3.,BL,BOON LAY,WR,WEST REGION,expressway
22750.726461339,28963.7599502727,Accident,19/2/2018,Accident on West Coast Highway (towards Tuas) at W Coast Hwy Flyover. Avoid left lane.,QT,QUEENSTOWN,CR,CENTRAL REGION,non_expressway
8820.55136431877,34217.6209803345,Accident,19/2/2018,Accident on AYE (towards MCE) at PIE(KJE) Exit.,TS,TUAS,WR,WEST REGION,expressway
27321.8687335305,34313.3089636563,Accident,19/2/2018,Accident on PIE (towards Changi Airport) after Stevens Rd Exit with congestion till Lornie Rd. Avoid lane 2.,NV,NOVENA,CR,CENTRAL REGION,expressway
40024.1940772839,39196.449015925,Accident,19/2/2018,Accident on TPE (towards PIE) before Pasir Ris Dr 8 Exit. Avoid lanes 1 and 2.,PR,PASIR RIS,ER,EAST REGION,expressway
32747.3609105346,32358.221014658,Accident,19/2/2018,Accident on KPE (towards ECP) after PIE Entrance. Avoid lane 1.,KL,KALLANG,CR,CENTRAL REGION,expressway
30606.1004722012,37667.3979851556,Accident,18/2/2018,Accident on CTE (towards SLE) at Ang Mo Kio Ave 1 Entrance.,AM,ANG MO KIO,NER,NORTH-EAST REGION,expressway
29214.7585377107,30560.3300158549,Accident,18/2/2018,Accident on River Valley Road (towards Clemenceau Avenue) after Clarke Quay. Avoid right lane.,SR,SINGAPORE RIVER,CR,CENTRAL REGION,expressway
35863.9117299479,34723.7889993148,Accident,18/2/2018,Accident on Eunos Link (towards Still Rd) after Kaki Bukit Avenue 1.,BD,BEDOK,ER,EAST REGION,non_expressway
12766.0301914094,33885.1209639487,Accident,18/2/2018,Accident on AYE (towards MCE) after Pioneer Rd Exit. Avoid lane 3.,PN,PIONEER,WR,WEST REGION,expressway
24050.2546297621,45276.8400141446,Accident,18/2/2018,Accident on Woodlands Avenue 12 (towards Woodlands Avenue 1) after SLE.,WD,WOODLANDS,NR,NORTH REGION,non_expressway
29197.1290574185,30780.0510011932,Accident,18/2/2018,Accident on Clemenceau Avenue (towards Tank Road) after River Valley Road.,MU,MUSEUM,CR,CENTRAL REGION,expressway
31828.3447360245,42561.5510499802,Accident,17/2/2018,Accident on TPE (towards PIE) at TPE(PIE) Entrance.,SL,SELETAR,NER,NORTH-EAST REGION,expressway
25768.5804924374,35118.9610058959,Accident,17/2/2018,Accident on PIE (towards Changi Airport) before Lornie Rd with congestion till Eng Neo Ave. Avoid lanes 1 and 6.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
24132.8059494821,29763.6089600811,Accident,17/2/2018,Accident on AYE (towards Tuas) after Alexandra Rd Entrance. Avoid lanes 1 and 2.,QT,QUEENSTOWN,CR,CENTRAL REGION,expressway
37662.7003241498,31832.8690083339,Accident,17/2/2018,Accident on ECP (towards City) before Still Rd Sth Exit. Avoid lane 3.,BD,BEDOK,ER,EAST REGION,expressway
39795.3424567889,33008.391050344,Accident,16/2/2018,Accident on Upper East Coast Road (towards Changi) after Bedok South Avenue 1. Avoid left lane.,BD,BEDOK,ER,EAST REGION,non_expressway
25318.8958596113,35424.3279898695,Accident,16/2/2018,Accident on PIE (towards Changi Airport) before Lornie Rd. Avoid lane 1.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
28789.1691204721,34555.3910408079,Accident,16/2/2018,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till Toa Payoh Exit.,NV,NOVENA,CR,CENTRAL REGION,expressway
30516.6590641168,31457.9200199219,Accident,16/2/2018,Accident on Victoria Street near Rochor Road/Victoria Street Junction.,DT,DOWNTOWN CORE,CR,CENTRAL REGION,non_expressway
20395.0572297451,32444.2700348075,Accident,16/2/2018,Accident on AYE (towards MCE) before Clementi Ave 2 Exit. Avoid lanes 3 and 4.,CL,CLEMENTI,WR,WEST REGION,expressway
42011.8503179883,34771.9610457998,Accident,16/2/2018,Accident on Xilin Avenue (towards Changi South Avenue 1) after Upper Changi Road East. Avoid left lane.,TM,TAMPINES,ER,EAST REGION,non_expressway
35949.1176505655,34638.4100007813,Accident,16/2/2018,Accident on Eunos Link (towards Still Rd) after Bedok Reservoir Road. Avoid right lane.,BD,BEDOK,ER,EAST REGION,non_expressway
30058.2553762106,30916.6600204431,Accident,16/2/2018,Accident on Victoria Street near Bras Basah Road/Victoria Street Junction.,DT,DOWNTOWN CORE,CR,CENTRAL REGION,non_expressway
29783.0257392089,28394.12099973,Accident,16/2/2018,Accident on MCE (towards ECP) before Maxwell Rd Entrance. Avoid lane 4.,DT,DOWNTOWN CORE,CR,CENTRAL REGION,expressway
34469.2184401836,42505.6409518701,Accident,15/2/2018,Accident on TPE (towards PIE) before Sengkang Exit.,PG,PUNGGOL,NER,NORTH-EAST REGION,expressway
18471.5490286267,33943.6909832876,Accident,15/2/2018,Accident on AYE (towards MCE) at Jurong Town Hall Entrance.,JE,JURONG EAST,WR,WEST REGION,expressway
21029.7623299953,44537.6719666258,Accident,15/2/2018,Accident on BKE (towards Woodlands) at SLE Exit.,SK,SUNGEI KADUT,NR,NORTH REGION,expressway
24871.6257292423,44094.1719571204,Accident,15/2/2018,Accident on SLE (towards CTE) before Mandai Ave Exit with congestion till Woodlands Ave 12 Exit. Avoid lanes 1 and 2.,MD,MANDAI,NR,NORTH REGION,expressway
21373.9709051193,42443.0200456297,Accident,15/2/2018,Accident on BKE (towards PIE) after Mandai Rd Exit with congestion till Mandai Rd Exit. Avoid lanes 1 and 2.,CC,CENTRAL WATER CATCHMENT,NR,NORTH REGION,expressway
22249.3860056248,37917.640999573,Accident,15/2/2018,Accident on BKE (towards PIE) after Dairy Farm Rd Entrance. Avoid lane 1.,CC,CENTRAL WATER CATCHMENT,NR,NORTH REGION,expressway
27415.1407792068,34322.1410276776,Accident,15/2/2018,Accident on PIE (towards Tuas) after Stevens Rd Exit with congestion till Toa Payoh Exit. Avoid lane 1.,NV,NOVENA,CR,CENTRAL REGION,expressway
22793.3439292035,45324.8980266117,Accident,15/2/2018,Accident on SLE (towards BKE) at Woodlands Ave 2 Exit.,MD,MANDAI,NR,NORTH REGION,expressway
21129.9311166314,44559.3280454786,Accident,15/2/2018,Accident on SLE (towards BKE) at BKE(PIE) Exit with congestion till BKE Exit.,MD,MANDAI,NR,NORTH REGION,expressway
32120.6208575388,34305.5780044142,Accident,15/2/2018,Accident on PIE (towards Tuas) after KPE Exit with congestion till KPE Exit. Avoid lane 4.,KL,KALLANG,CR,CENTRAL REGION,expressway
24025.0098898023,29839.800946894,Accident,15/2/2018,Accident on AYE (towards MCE) before Alexandra Rd Exit. Avoid lane 1.,QT,QUEENSTOWN,CR,CENTRAL REGION,expressway
18399.11438683,41239.9299605012,Accident,14/2/2018,Accident on KJE (towards PIE) at Choa Chu Kang Dr Exit.,CK,CHOA CHU KANG,WR,WEST REGION,expressway
9159.60139719754,33948.229945637,Accident,14/2/2018,Accident on PIE (towards Tuas) at AYE Exit.,PN,PIONEER,WR,WEST REGION,expressway
28686.0077459875,32845.9299750464,Accident,14/2/2018,Accident on Newton Circus (towards City) after Newton Circus.,NV,NOVENA,CR,CENTRAL REGION,non_expressway
25750.2349226973,42445.9220504659,Accident,14/2/2018,Accident on SLE (towards CTE) before Upper Thomson Rd Exit with congestion till Woodlands Ave 2 Exit. Avoid lanes 2 and 3.,YS,YISHUN,NR,NORTH REGION,expressway
18896.7125311364,41242.5780063418,Accident,14/2/2018,Accident on KJE (towards PIE) before Choa Chu Kang Dr Exit with congestion till BKE Entrance.,CK,CHOA CHU KANG,WR,WEST REGION,expressway
24542.8468034475,44377.3589833238,Accident,14/2/2018,Accident on SLE (towards BKE) after Mandai Rd Exit.,MD,MANDAI,NR,NORTH REGION,expressway
19939.073071636,41279.9610234011,Accident,14/2/2018,Accident on KJE (towards PIE) at Senja Rd Entrance.,BP,BUKIT PANJANG,WR,WEST REGION,expressway
29832.8935176205,42040.0309938488,Accident,13/2/2018,Accident on SLE (towards BKE) after TPE Exit.,AM,ANG MO KIO,NER,NORTH-EAST REGION,expressway
25607.1627601401,29532.6989570409,Accident,13/2/2018,Accident on AYE (towards Tuas) after Lower Delta Rd Exit. Avoid lane 3.,BM,BUKIT MERAH,CR,CENTRAL REGION,expressway
21102.6760289724,44097.2700435739,Accident,13/2/2018,Accident on BKE (towards Woodlands) after Mandai Rd Entrance. Avoid lane 3.,SK,SUNGEI KADUT,NR,NORTH REGION,expressway
29532.8165604758,28778.3110237726,Accident,13/2/2018,Accident on Anson Road (towards Robinson Road) after Choon Guan Street.,DT,DOWNTOWN CORE,CR,CENTRAL REGION,non_expressway
35689.6943734336,31260.0999988505,Accident,13/2/2018,Accident on ECP (towards Changi Airport) before Still Rd Sth Exit with congestion till Fort Rd Exit. Avoid lane 1.,MP,MARINE PARADE,CR,CENTRAL REGION,expressway
35685.9079284836,34175.3279933058,Accident,13/2/2018,Accident on PIE (towards Changi Airport) before Jalan Eunos with congestion till Kallang Way. Avoid lane 1.,GL,GEYLANG,CR,CENTRAL REGION,expressway
18068.8363523633,33993.7380431647,Accident,13/2/2018,Accident on AYE (towards Tuas) after Jurong Town Hall Exit.,JE,JURONG EAST,WR,WEST REGION,expressway
44378.6966877225,35554.7500174291,Accident,13/2/2018,Accident on PIE (towards Changi Airport) at ECP(City) Exit.,CH,CHANGI,ER,EAST REGION,expressway
30782.7382595123,39741.1090420855,Accident,13/2/2018,Accident on CTE (towards SLE) at Ang Mo Kio Ave 5 Exit.,AM,ANG MO KIO,NER,NORTH-EAST REGION,expressway
31085.447033737,39187.5509710165,Accident,13/2/2018,Accident on Ang Mo Kio Avenue 5 (towards Ang Mo Kio Avenue 3) after CTE.,SG,SERANGOON,NER,NORTH-EAST REGION,expressway
39986.9250158704,35407.5119707878,Accident,13/2/2018,Accident on PIE (towards Tuas) after Tampines.,TM,TAMPINES,ER,EAST REGION,expressway
26864.0118760277,29006.3109492032,Accident,13/2/2018,Accident on AYE (towards Tuas) after Lower Delta Rd Exit with congestion till Lower Delta Rd Exit. Avoid lane 2.,BM,BUKIT MERAH,CR,CENTRAL REGION,expressway
23294.8590507988,45157.0699812767,Accident,13/2/2018,Accident on SLE (towards BKE) before Woodlands Ave 2 Exit with congestion till Mandai Rd Exit. Avoid lane 2.,MD,MANDAI,NR,NORTH REGION,expressway
21084.306615843,33498.069946295,Accident,13/2/2018,Accident on Ulu Pandan Road near Clementi Road/Ulu Pandan Road Junction.,BT,BUKIT TIMAH,CR,CENTRAL REGION,non_expressway
18289.743936054,33900.0310305829,Accident,13/2/2018,Accident on AYE (towards Tuas) at Jurong Town Hall Exit.,JE,JURONG EAST,WR,WEST REGION,expressway
30731.6354445602,41846.6599465433,Accident,13/2/2018,Accident on SLE (towards CTE) after TPE Exit. Avoid lanes 2 and 3.,SE,SENGKANG,NER,NORTH-EAST REGION,expressway
28475.8260329373,32010.5390430815,Accident,13/2/2018,Accident on Cairnhill Road near Cairnhill Circle/Cairnhill Road Junction.,NT,NEWTON,CR,CENTRAL REGION,non_expressway
35996.5534997421,33728.4609710573,Accident,12/2/2018,Accident on Jalan Eunos (towards Hougang) after Changi Road.,BD,BEDOK,ER,EAST REGION,non_expressway
29922.6795323305,42047.9220442794,Accident,12/2/2018,Accident on SLE (towards CTE) before TPE Exit. Avoid lane 1.,AM,ANG MO KIO,NER,NORTH-EAST REGION,expressway
36093.9021335873,34381.171970511,Accident,12/2/2018,Accident on PIE (towards Changi Airport) at Jalan Eunos Entrance.,BD,BEDOK,ER,EAST REGION,expressway
24547.9327853392,44394.3009911491,Accident,12/2/2018,Accident on SLE (towards CTE) before Mandai Ave Exit with congestion till BKE Entrance. Avoid lane 2.,MD,MANDAI,NR,NORTH REGION,expressway
36112.8799489183,34283.2380551058,Accident,12/2/2018,Accident on PIE (towards Changi Airport) before Jalan Eunos with congestion till Kallang. Avoid lanes 2 and 3.,BD,BEDOK,ER,EAST REGION,expressway
28358.3667260393,34360.8710309434,Accident,12/2/2018,Accident on PIE (towards Changi Airport) before Thomson Rd with congestion till Lornie Rd. Avoid lane 1.,NV,NOVENA,CR,CENTRAL REGION,expressway
24501.6358240861,29610.0509848853,Accident,12/2/2018,Accident on AYE (towards Tuas) before Alexandra Rd Entrance.,BM,BUKIT MERAH,CR,CENTRAL REGION,expressway
41479.1338884849,36673.8400144023,Accident,12/2/2018,Accident on PIE (towards Changi Airport) before Tampines St 31. Avoid lane 2.,TM,TAMPINES,ER,EAST REGION,expressway
19417.5787306828,33486.6090521782,Accident,12/2/2018,Accident on AYE (towards Tuas ) after Clementi Ave 6 Exit. Avoid lane 4.,CL,CLEMENTI,WR,WEST REGION,expressway
22500.6706861661,31008.9390161129,Accident,12/2/2018,Accident on AYE (towards MCE) after Buona Vista Exit. Avoid lanes 1 and 2.,QT,QUEENSTOWN,CR,CENTRAL REGION,expressway
23071.9230916234,45259.3590264391,Accident,12/2/2018,Accident on SLE (towards CTE) after Woodlands Ave 2 Exit. Avoid lane 3.,WD,WOODLANDS,NR,NORTH REGION,expressway
33731.8401753906,34417.5779572596,Accident,12/2/2018,Accident on KPE (towards ECP) after Airport Rd Entrance. Avoid lane 3.,GL,GEYLANG,CR,CENTRAL REGION,expressway
39399.2056096336,32961.6800093642,Accident,12/2/2018,Accident on Upper East Coast Road (towards City) after Bayshore Road with congestion till Bedok South Avenue 3. Avoid right lane.,BD,BEDOK,ER,EAST REGION,non_expressway
22005.126187597,43617.8090133019,Accident,12/2/2018,Accident on Mandai Road (towards Mandai Lake Road) after Jalan Ulu Sembawang with congestion.,MD,MANDAI,NR,NORTH REGION,non_expressway
